web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532513-2752","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/272120/1.jpg","Air Jordan 4 Retro PS 'White Oreo'","$80+"
"1629532513-2757","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/247086/1.jpg","Air Jordan 4 Retro OG GS 'Fire Red' 2020","$182+"
"1629532487-2460","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro WTHR 'Faded Spruce'","Out of stock"
"1629532492-2515","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/152899/1.jpg","OVO x Air Jordan 4 Retro 'Splatter'","Out of stock"
"1629532503-2638","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/011783/1.jpg","Air Jordan 4 Retro GS 'Toro Bravo'","$225+"
"1629532499-2616","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/010226/1.jpg","Air Jordan 4 Retro Rare Air 'Laser'","$950+"
"1629532499-2598","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/145751/1.jpg","Air Jordan 4 Retro PS 'White Cement'","$150+"
"1629532513-2747","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/278314/1.jpg","Air Jordan 4 Retro GS 'Lightning' 2021","$185+"
"1629532505-2673","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/179694/1.jpg","Air Jordan 4 Retro GS 'Green Metallic'","$328+"
"1629532497-2566","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/177892/1.jpg","Jack Daniel's x The Shoe Surgeon x Air …Jordan 4 'Cave Spring'","$882+"
"1629532499-2605","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/011796/1.jpg","Air Jordan 4 Retro 'Oregon'","$3500+"
"1629532508-2700","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/160333/1.jpg","Air Jordan 4 Retro WNTR GS 'Loyal Blue'","$140+"
